,Group type,Fea selection type,ML type,# features,inner_cv_neg_mean_squared_error,parameters,features,model
1,ATB_nonATB_combine,2,random_forest,41,-0.1064177700849839,"RandomForestRegressor(bootstrap=False, max_depth=30, max_features='sqrt',
                      n_estimators=700, n_jobs=60, random_state=1)","SPOCK2_DUSP3,SPOCK2_STAT1,CD19_SERPING1,CD19_LAP3,FBXO6_C1QB,C1QB_SLC6A12,C1QB_RTP4,CD19_DUSP3,GK_LRRK2,SPOCK2_IFIT2,PSTPIP2_SERPING1,ZNF438_LHFPL2,SPOCK2_CD5,FBXO6_FCGR1B,CD274_MAPK14,AIM2_SERPING1,BATF2_ANKRD22,LRRK2_LMNB1,CD274_APOL6,HP_C1QB,PSTPIP2_LHFPL2,SAMD9L_LAP3,CD274_JAK2,NELL2_CD5,BATF2_C1QB,CASP5_FCGR1B,GBP5_GBP4,CD274_ZNF438,CD274_P2RY14,TIMM10_FBXO6,DUSP3_LY96,FBXO6_GBP1,TLR5_ZNF438,ADM_IFIT2,RSAD2_IFIT3,RSAD2_GBP5,RSAD2_FCGR1B,LRRK2_KCNJ15,GBP4_LAP3,FBXO6_VAMP5,ZNF438_KCNJ15",Full model
2,ATB_nonATB_combine,3,random_forest,12,-0.1208178192492893,"RandomForestRegressor(bootstrap=False, max_depth=90, max_features='sqrt',
                      n_estimators=1400, n_jobs=60, random_state=1)","FBXO6_VAMP5,LRRK2_LMNB1,BATF2_ANKRD22,SPOCK2_DUSP3,GBP5_GBP4,CD274_NELL2,ADM_IFIT2,ZNF438_FCGR1B,CD274_APOL6,SPOCK2_IFIT2,SPOCK2_CD5,NELL2_CD5",Reduced model
